story,season,primary_colour,exclusive,garment_pattern,print_pattern_type,number_of_components,number_of_pockets,pocket_type,neck,collar,placket,length,sleeve_length,sleeve_type,hemline,waist_rise,footwear_ankle_type,closure,footwear_insole,fabric_story,fabric_weave_pattern,wash_care,footwear_upper_material,footwear_sole_material,fabric_composition,denim_cast,color_family
Checked,,Astro Green,,Spliced,Diagonal Stripes,,,,Scalloped Neck,Polo Collar,,,,Flare Sleeves,,,,Tie-Up,,Velvet,Satin,,,,Polyester Elastane,3/1CL_950_DARK SB,Melange
City Dressing,,Azzur Blue,,Tiered,Distorted,,,,Scoop Neck,Resort Collar,,,,Flutter sleeves,,,,Zip,,Yarn Dyed,Single Jersey,,,,Polyester Viscose,3/1CL_975_DEEP INDIGO,Multicolor
Clean Look,,Baby Blue,,Utility,Distressed,,,,Spaghetti Strap Neck,Ruffle Collar,,,,Frill sleeves,,,,Zipper/Button/Belt,,,Slub,,,,Polyester Viscose Elastane,3/1CPL_1025_BLACK BY BLACK,Mustard
Club House ,,Baby Pink,,,Ditsy,,,,Square Neck,Sailor Collar,,,,Gathered Sleeves,,,,,,,Terry,,,,Viscose Lyocell,3/1CPL_1025_BLACK BY WHITE,Navy Blue
Corsage,,Baked Clay,,,Doodle,,,,Surplice Neck,Shawl Collar,,,,Gauntlet sleeves,,,,,,,Twill,,,,Viscose Polyester,3/1CPL_1025_DARK IBST,Olive
Crafted Details,,Basalt,,,Embellishment,,,,Sweetheart,Small Collar,,,,Gibson Girl sleeves,,,,,,,,,,,,3/1CPL_1025_DARK IBST BY BLACK,Orange
Cyber Checks,,Basil Green,,,Fauna,,,,V neck,Spread Collar,,,,Hanging sleeves,,,,,,,,,,,,3/1CPL_1025_DARK INDIGO,Pink
Darker Subculture,,Bay Leaf,,,Flannel Checks,,,,Wrap,Standup Collar,,,,Juliet sleeves,,,,,,,,,,,,3/1CPL_1025_DARK INDIGO BY BLACK,Purple
Day Out,,Beacon Orange,,,Floral,,,,,Tie Neck Collar,,,,Kimono sleeves,,,,,,,,,,,,3/1CPL_1025_DARK INDIGO/BLACK,Red
Deconstructed,,Beige,,,Futuristic,,,,,Turtle Neck Collar,,,,Lantern sleeves,,,,,,,,,,,,3/1CPL_1025_DEEP INDIGO,Rust
Digi Florals,,Beige Black,,,Geometric,,,,,Wingtip Collar,,,,Layered Sleeves,,,,,,,,,,,,3/1CPL_1025_DEEP INDIGO  BY BLACK,Silver
Distorted Dyes,,Beige Floral,,,Gingham Checks,,,,,,,,,Leg of mutton sleeves,,,,,,,,,,,,3/1CPL_1025_ECRU,Steel
Distressed,,Beige Melange,,,Graffiti,,,,,,,,,Long Bell sleeves,,,,,,,,,,,,3/1CPL_1025_GREY BY BLACK,Tan
Distressed Texture,,Beige Print,,,Graphic,,,,,,,,,Magyar Sleeves,,,,,,,,,,,,3/1CPL_1025_GREY BY WHITE,Teal
Embroidered Detail,,Beige Striper,,,Graphic Lines,,,,,,,,,Mameluke sleeves,,,,,,,,,,,,3/1CPL_1025_MULTICOUNT DEEP INDIGO,Turquoise Blue
Entertainment,,Bisuit Beige,,,Handkerchief Print,,,,,,,,,Melon sleeve,,,,,,,,,,,,3/1CPL_1025_SBIT,Violet
Extreme Utility,,Bitter Yellow,,,Horizontal Stripes,,,,,,,,,No Cuff,,,,,,,,,,,,3/1CPL_1025_SBIT BY BLACK,White
Flannel Checks,,Black,,,Ikat,,,,,,,,,Over sleeves,,,,,,,,,,,,3/1CPL_1050_DARK IBST,Yellow
Floral,,Black Blue,,,Indie,,,,,,,,,Peasant sleeves,,,,,,,,,,,,3/1CPL_1050_DARK INDIGO,
Fluid Career,,Black Brushed,,,Kidult,,,,,,,,,Petal sleeves,,,,,,,,,,,,3/1CPL_1050_DARK INDIGO BY BLACK,
Forever Vacay,,Black Camo,,,Kitch,,,,,,,,,Pleated Sleeves,,,,,,,,,,,,3/1CPL_1050_GREY_BY WHITE,
Formal,,Black Denim,,,Lace,,,,,,,,,Poet sleeves,,,,,,,,,,,,3/1CPL_1050_SBIT,
Fruit Punch,,Black Floral,,,Line Art,,,,,,,,,Puff sleeves,,,,,,,,,,,,3/1CPL_1075_DARK INDIGO,
Gothic Story,,Black Forest,,,Madras Checks,,,,,,,,,Raglan sleeves,,,,,,,,,,,,3/1CPL_725_DARK INDIGO,
Holiday,,Black Grey,,,Marble,,,,,,,,,Regular,,,,,,,,,,,,3/1CPL_725_DARK SB,
Hyper-Hypo,,Black Grindle,,,Metaverse,,,,,,,,,Ribbed Cuff,,,,,,,,,,,,3/1CPL_950_DARK SB,
Indie,,Black Melange,,,Micro Checks,,,,,,,,,Ruched Sleeves,,,,,,,,,,,,3/1CPL_950_ECRU,
Indie Geo,,Black Ombre,,,Micro Ditsy,,,,,,,,,Ruffle Sleeve,,,,,,,,,,,,3/1CPL_9_DARK IBST,
Kidult,,Black Print,,,Mix & Match,,,,,,,,,Shirred Sleeves,,,,,,,,,,,,3/1CTNRGD_1105_BLACK BY BLACK,
Korean Street,,Black Tie,,,Mosaic ,,,,,,,,,Shoulder Tie Ups,,,,,,,,,,,,3/1CTNRGD_1105_DARK IBST,
Laser,,Blood Red,,,Multi Stripes,,,,,,,,,Slashed sleeves,,,,,,,,,,,,3/1CTNRGD_1105_DEEP INDIGO,
Material Mix,,Blue,,,Nautical,,,,,,,,,Smocked,,,,,,,,,,,,3/1CTNRGD_1105_ECRU,
Men's Twisted Denim,,Blue Aster,,,Ombre,,,,,,,,,Spaghetti Straps,,,,,,,,,,,,3/1CTNRGD_1105_GREY BY WHITE,
Meta Edit,,Blue Camo,,,Optic,,,,,,,,,Square armhole sleeves,,,,,,,,,,,,3/1RGD_1050_BLACK BY BLACK,
Metastreetwear Utility,,Blue Denim,,,Overdyed,,,,,,,,,Strap,,,,,,,,,,,,3/1RGD_1050_BLACK BY BLACK / 3/1RGD_1050_DARK INDIGO,
Metaverse,,Blue Floral,,,Paint Splash,,,,,,,,,Trumpet Sleeves,,,,,,,,,,,,3/1RGD_1050_DARK IBST BY WHITE,
Minimal,,Blue Glass,,,Paisley,,,,,,,,,Tulip sleeves,,,,,,,,,,,,3/1RGD_1050_DARK INDIGO,
Mix Match,,Blue Grey,,,Patched,,,,,,,,,Zipper Open,,,,,,,,,,,,3/1RGD_1050_DARK INDIGO / 3/1RGD_1050_BLACK BY BLACK,
Modern Romantic,,Blue Indigo,,,Photo Print,,,,,,,,,,,,,,,,,,,,,3/1RGD_1050_DARK INDIGO/ 2/1RGD_950_ DARK IBST BY WHITE,
Modular Cargo,,Blue Lining,,,Pin Stripes,,,,,,,,,,,,,,,,,,,,,3/1RGD_1050_DARK INDIGO/ 3/1RGD_1050_ BLACK BY BLACK,
Modular Geometry,,Blue Melange,,,Pixelated,,,,,,,,,,,,,,,,,,,,,3/1RGD_1050_ECRU,
Mosaic Print,,Blue Ombre,,,Placement Embroidery,,,,,,,,,,,,,,,,,,,,,3/1RGD_1050_ECRU / 3/1RGD_1050_DARK INDIGO,
Natural Look,,Blue Print,,,Polka Dot,,,,,,,,,,,,,,,,,,,,,3/1RGD_1075_BLACK BY BLACK,
Nature Verse,,Blue Radiance,,,Postcards,,,,,,,,,,,,,,,,,,,,,3/1RGD_1075_BLACK BY WHITE,
Nerdcore,,Blue Striper,,,Psychedelic,,,,,,,,,,,,,,,,,,,,,3/1RGD_1075_DARK IBST,
Ode To Indian Heritage ,,Blue Wing Teal,,,Quirky,,,,,,,,,,,,,,,,,,,,,3/1RGD_1075_DARK IBST BY BLACK,
Ombre,,Blush Pink,,,Racing,,,,,,,,,,,,,,,,,,,,,3/1RGD_1075_DARK INDIGO,
On The Road,,Blushing Bride,,,Schiffli,,,,,,,,,,,,,,,,,,,,,3/1RGD_1075_DARK INDIGO BY BLACK,
Outing To The Beach,,Botanical Garden,,,Sketch Art,,,,,,,,,,,,,,,,,,,,,3/1RGD_1075_DEEP INDIGO,
Overdye,,Bottle Green,,,Solid,,,,,,,,,,,,,,,,,,,,,3/1RGD_1075_DEEP INDIGO BY BLACK,
